user_id,movie_id,score
68664,27390,4
68635,35196,3
109075,57680,4
14233,30431,3
11824,24982,4
62792,43734,5
106421,40651,4
87954,46902,4
109038,102691,3
28189,41569,4
54683,15659,4
107380,15361,2
120069,13008,3
130809,72473,3
40979,10774,5
115895,922,4
46453,816,4
74819,29455,5
137856,11602,4
34497,245184,4
73264,222858,4
45591,46423,3
60155,17010,3
35433,176241,3
99629,56256,4
126032,12405,4
133114,76338,3
1659,54186,5
42704,31462,3
33873,29592,3
75825,33994,4
61497,81310,4
112609,15709,4
136630,3086,5
125086,1418,3
55649,18462,3
4583,106135,3
64795,57644,4
16903,29482,3
55110,16303,4
107019,212756,4
118884,11139,4
33769,84175,5
18849,238090,4
130393,21375,3
43547,80521,2
37975,8618,4
72757,9426,4
138271,66956,3
32136,49935,3
4398,15,5
72113,152737,3
37576,57251,3
118133,15824,4
2304,98357,3
111786,21964,4
22395,582,5
19706,132506,4
68212,27517,4
47978,63858,3
33093,647,3
12138,20545,2
110126,278334,4
99091,170767,3
54999,11719,4
75511,250761,4
65390,37627,3
57239,118737,3
40420,39988,4
125394,11614,4
87851,58372,2
108761,73211,4
129536,42795,4
90268,28131,4
1285,105077,4
29145,68629,4
95589,25934,4
59250,1412,4
44662,121691,3
2227,21585,4
93858,68189,3
88684,61864,4
61755,13059,4
112613,94225,3
68577,122348,4
3778,11006,4
19165,17962,4
55745,32767,2
44760,149085,4
32292,37176,4
133284,32600,4
86217,158091,4
94435,51617,3
18700,106882,3
19652,117678,4
136253,1892,3
2063,64973,4
84336,39282,3
138254,312813,4
108199,27094,4
121192,9800,4
10296,1890,3
8640,67463,5
11390,14550,2
80369,30054,4
132276,20303,3
38605,27245,3
67506,23604,3
49133,41463,3
96747,9799,2
59185,28681,4
3303,52225,3
36847,21923,4
117797,879,3
118417,2444,3
93861,42552,4
89323,17113,5
61609,37512,4
9492,40855,4
111939,22556,4
119844,162510,4
17844,257176,4
98610,41120,4
46666,122348,4
7284,11658,5
27536,28666,3
17476,40641,3
119492,11352,3
65474,35066,3
68023,50241,4
8158,51179,2
110588,37047,3
137297,27016,4
114805,84317,3
76165,17689,3
80422,135317,5
97532,121791,4
59480,12509,3
7702,26259,4
111784,42664,2
72642,38850,4
109993,140003,3
134414,13912,3
35963,49980,4
45946,32617,3
59521,47259,4
105915,78705,5
66955,21386,3
97704,262528,2
56540,121791,4
5667,875,5
6608,42701,5
91224,21930,4
94709,43442,5
70244,47189,4
10101,20539,3
82669,28062,4
133801,12311,4
12369,171771,3
8313,117,4
117495,234155,4
33386,44626,4
86829,479,4
88726,36677,4
89222,13122,3
91438,43047,3
132878,90770,3
116561,2860,4
29935,43373,4
19623,9465,5
44234,267480,4
16446,265449,3
27041,315855,2
56145,320849,3
99389,212716,4
55210,8358,4
50791,91426,4
71154,91549,4
118579,10440,3
117811,32407,4
24378,7992,3
39221,15759,2
13516,2006,5
38848,23030,4
28334,53423,4
66885,78331,3
6311,199925,4
13299,20758,4
90948,598,4
120903,74998,3
1446,46458,3
79815,1726,5
32730,84319,3
29050,28029,4
16410,73293,3
98783,13942,3
134181,120555,3
13667,63193,4
26534,54233,5
102590,17614,4
115979,24657,4
44257,17483,5
53714,11592,3
113486,30931,3
101042,45120,4
70791,31083,4
41093,91694,4
70273,84287,3
116200,1628,3
39766,11372,3
127544,33305,3
97401,194113,3
91001,52844,3
1601,315882,2
123977,11868,3
76328,214217,3
120643,20811,3
101642,55192,4
85714,174671,4
40497,92171,3
102139,157690,4
34168,106573,4
45596,157787,4
55261,20849,4
110124,31644,2
59131,39893,5
113620,73604,2
15594,22140,4
8681,203534,3
47787,265727,4
42146,31913,3
70399,877,5
16240,143049,4
105432,191294,3
75504,27297,2
53641,71732,4
86662,53906,4
117652,19583,4
67526,85546,4
53468,60434,4
27927,851,3
79298,20408,3
96631,356054,3
120689,25594,4
12697,163869,4
79985,39767,3
38495,6317,4
55088,59706,4
12816,98064,3
104391,171337,3
73424,104343,4
33770,31579,4
51660,91817,3
51212,34377,4
125639,107246,4
11726,20770,4
43513,118204,3
94985,12568,3
99912,67531,3
138435,10235,4
64908,238478,5
45959,72445,4
127209,91262,4
43760,174593,4
18188,29967,4
83670,235984,3
23675,13932,3
110924,51241,3
43425,49709,5
91452,39279,4
15944,179146,4
70683,54825,4
97137,98232,5
75835,22492,4
137120,57953,4
68051,22152,3
9306,42491,4
64820,9411,4
89401,26518,3
136197,9277,5
116698,38626,3
66988,34667,4
64090,36859,3
56217,210621,4
133603,164741,3
62833,22233,5
85393,240982,5
42862,8356,3
114246,14170,4
132214,582,4
111880,43825,3
5822,34696,5
19432,86750,2
69747,38773,3
2170,70627,3
95428,10491,4
32521,97365,4
136070,52999,4
28524,46558,3
52240,59427,3
73890,26465,4
24913,102057,3
66462,777,5
5307,25113,4
77750,13437,2
54180,37168,4
6354,502,4
1313,86084,4
89198,141635,4
105061,34309,4
86549,50641,4
93277,10436,3
118836,111390,4
70492,40662,5
65799,244801,3
112407,60608,4
83434,10523,3
36092,115656,3
91567,4938,3
41374,2502,4
34637,24804,3
127289,47184,3
132453,9929,2
38012,24748,4
120348,65994,3
56231,51875,3
4329,41496,2
43702,9080,3
100549,14694,4
104911,26755,5
55277,11194,4
125012,173480,4
48027,253046,4
128123,56579,4
20972,150,3
136921,252102,3
134123,4771,3
37368,76703,3
8939,47952,4
44340,46991,4
73330,58704,3
104199,51071,3
44209,253270,3
42965,2064,2
25114,16301,2
125275,3109,5
135419,100085,5
37845,606,2
51819,55,4
115642,42368,4
117426,200063,4
84211,18089,4
37096,28434,3
58141,32634,4
21339,24269,2
120827,32520,3
121840,1618,4
115299,11044,4
50511,57330,3
12399,5055,4
138297,113833,3
109950,1648,4
133770,11243,3
111944,28063,3
117118,19017,4
112632,11051,3
15188,145899,4
71125,47721,4
103243,183247,5
122946,165402,4
96417,21147,3
68371,27016,5
3323,19952,3
2379,64527,3
76681,137,5
84970,37291,4
116695,23169,4
47338,77079,2
16002,83229,3
38247,77880,4
96208,114618,4
75607,18032,4
126025,75878,4
68126,187458,5
12678,39331,3
111878,44163,4
64056,20942,4
85044,287495,4
124827,6282,3
35286,28455,3
75282,118984,3
7345,1392,4
29596,1361,3
31638,87506,3
103848,271677,3
56845,14359,4
76690,8074,4
38466,82083,2
34212,34723,4
123180,256628,4
127719,9764,4
137047,47657,3
6631,3063,4
49843,801,4
88054,7304,4
33801,42839,3
116793,41768,4
111568,52906,5
41295,155325,4
130614,47055,4
80001,8886,4
115728,150778,4
61630,132939,5
79678,138544,3
135064,1584,4
76799,76848,4
74605,35663,4
48816,43539,4
79277,916,3
120449,33241,3
129018,10427,4
87392,10707,3
74582,2024,3
50973,184352,4
93418,11121,3
89836,16664,3
85579,28384,4
44132,23330,4
41509,80653,4
5808,43149,3
124585,78041,3
106596,125759,4
61778,11797,4
110255,42044,5
52644,10426,3
137042,28437,2
29581,88953,5
124559,16555,4
62507,31522,4
36068,34389,4
39967,157351,3
72500,32117,5
44635,161006,3
137475,50314,5
36442,8204,2
103626,22797,3
73623,257176,3
84455,12544,2
103221,16636,4
8998,43146,5
89910,43985,4
43351,898,4
88022,10103,5
88524,39214,4
10752,171372,4
13886,53519,3
76904,23990,3
130968,109600,3
59068,19119,4
111678,41397,5
70825,391166,4
36521,11959,3
37178,108017,5
110063,32004,3
115753,42012,4
13806,96333,3
20062,940,4
46396,94329,3
85391,320004,3
44977,155459,4
137912,18232,4
24657,42257,3
17984,20642,5
28115,13639,4
105167,51571,4
21235,2455,4
82973,44052,4
78381,96648,5
86190,56345,3
1497,28519,3
111600,97029,3
104292,18721,4
40674,25951,3
53233,11156,3
100534,11700,4
58456,251321,4
101923,80472,4
94952,166,4
108780,14201,3
66028,58081,3
118222,127533,4
71449,40247,3
90428,34592,4
73950,7295,3
103694,13795,3
118563,38437,4
107112,72241,5
127337,26293,3
131146,30017,3
11071,148778,4
53318,79201,4
39005,30618,4
30960,320316,4
110497,28943,4
106822,33839,4
30606,204996,3
102472,273404,3
70908,13679,4
107366,1666,3
123526,127495,5
111476,14859,3
106212,40724,5
103734,151136,3
130414,31604,4
110510,243565,5
6856,317,4
131889,5951,4
61004,84108,2
77761,101449,4
61484,32761,4
81274,15859,4
93099,29353,5
176,59990,4
8405,10311,4
41118,10686,3
34183,11983,3
94068,41006,2
120213,127872,4
124023,45269,4
110000,28136,4
114471,43597,4
41188,82106,3
23552,187156,4
4931,42264,4
40021,79218,3
112699,37959,4
99863,8213,4
68815,51991,3
1223,59828,3
4934,21755,4
101511,9503,4
118711,118778,3
14838,20875,3
91011,602,4
27637,14552,4
98798,43807,3
15716,65898,3
94989,22013,4
114967,9260,4
125881,239,4
32845,1773,5
133913,54804,4
45078,10731,4
90867,176182,2
58026,43143,3
120872,36627,4
14293,15855,4
28834,40636,4
109879,105526,3
50537,9906,4
73224,20444,4
121152,26388,3
53434,27740,4
87072,21923,4
14519,45094,3
103016,144953,3
117872,22478,3
44051,269650,4
55806,56764,3
137775,267795,3
13747,42458,4
66093,302429,2
78231,68200,5
113284,163875,3
68675,2056,4
114261,49633,3
18644,43253,3
54901,142507,3
52401,277,4
13682,228339,4
33132,35651,3
39409,9099,2
40807,31509,4
97303,47365,4
29213,61650,5
55074,53459,4
122178,55398,4
80814,16170,3
45720,22774,5
61284,49807,4
52945,102913,3
86328,14979,4
99402,25232,3
57025,228326,4
8228,43885,4
89457,6498,4
125370,15484,4
4233,40633,3
11973,63498,3
56795,74126,4
10709,30630,4
13344,9007,2
129571,25650,4
36274,659,4
45419,1598,4
71266,13025,4
3247,10541,3
11194,28280,3
6456,1634,3
49469,11791,4
61098,84880,4
90074,157115,4
19975,99008,3
8605,54405,4
120373,28627,3
72476,196,3
85003,15,4
48966,187927,4
123105,25111,4
105464,201777,3
75897,30368,4
49211,6282,2
51807,199327,4
88932,17614,4
114633,25121,3
19933,12832,4
80701,36402,4
73210,24382,4
102606,11634,4
130411,35156,4
109789,57106,4
44558,62414,4
15343,79382,4
63435,36751,4
7002,2210,4
24522,37928,4
34003,152023,4
112663,2621,4
28265,48561,3
2016,34921,4
66941,47059,5
24604,9374,4
110981,259943,4
112843,13259,1
