,user_id,movie_id,score
0,68664,27390,4
1,68635,35196,3
2,109075,57680,4
3,14233,30431,3
4,11824,24982,4
5,62792,43734,5
6,106421,40651,4
7,87954,46902,4
8,109038,102691,3
9,28189,41569,4
10,54683,15659,4
11,107380,15361,2
12,120069,13008,3
13,130809,72473,3
14,40979,10774,5
15,115895,922,4
16,46453,816,4
17,74819,29455,5
18,137856,11602,4
19,34497,245184,4
20,73264,222858,4
21,45591,46423,3
22,60155,17010,3
23,35433,176241,3
24,99629,56256,4
25,126032,12405,4
26,133114,76338,3
27,1659,54186,5
28,42704,31462,3
29,33873,29592,3
30,75825,33994,4
31,61497,81310,4
32,112609,15709,4
33,136630,3086,5
34,125086,1418,3
35,55649,18462,3
36,4583,106135,3
37,64795,57644,4
38,16903,29482,3
39,55110,16303,4
40,107019,212756,4
41,118884,11139,4
42,33769,84175,5
43,18849,238090,4
44,130393,21375,3
45,43547,80521,2
46,37975,8618,4
47,72757,9426,4
48,138271,66956,3
49,32136,49935,3
50,4398,15,5
51,72113,152737,3
52,37576,57251,3
53,118133,15824,4
54,2304,98357,3
55,111786,21964,4
56,22395,582,5
57,19706,132506,4
58,68212,27517,4
59,47978,63858,3
60,33093,647,3
61,12138,20545,2
62,110126,278334,4
63,99091,170767,3
64,54999,11719,4
65,75511,250761,4
66,65390,37627,3
67,57239,118737,3
68,40420,39988,4
69,125394,11614,4
70,87851,58372,2
71,108761,73211,4
72,129536,42795,4
73,90268,28131,4
74,1285,105077,4
75,29145,68629,4
76,95589,25934,4
77,59250,1412,4
78,44662,121691,3
79,2227,21585,4
80,93858,68189,3
81,88684,61864,4
82,61755,13059,4
83,112613,94225,3
84,68577,122348,4
85,3778,11006,4
86,19165,17962,4
87,55745,32767,2
88,44760,149085,4
89,32292,37176,4
90,133284,32600,4
91,86217,158091,4
92,94435,51617,3
93,18700,106882,3
94,19652,117678,4
95,136253,1892,3
96,2063,64973,4
97,84336,39282,3
98,138254,312813,4
99,108199,27094,4
100,121192,9800,4
101,10296,1890,3
102,8640,67463,5
103,11390,14550,2
104,80369,30054,4
105,132276,20303,3
106,38605,27245,3
107,67506,23604,3
108,49133,41463,3
109,96747,9799,2
110,59185,28681,4
111,3303,52225,3
112,36847,21923,4
113,117797,879,3
114,118417,2444,3
115,93861,42552,4
116,89323,17113,5
117,61609,37512,4
118,9492,40855,4
119,111939,22556,4
120,119844,162510,4
121,17844,257176,4
122,98610,41120,4
123,46666,122348,4
124,7284,11658,5
125,27536,28666,3
126,17476,40641,3
127,119492,11352,3
128,65474,35066,3
129,68023,50241,4
130,8158,51179,2
131,110588,37047,3
132,137297,27016,4
133,114805,84317,3
134,76165,17689,3
135,80422,135317,5
136,97532,121791,4
137,59480,12509,3
138,7702,26259,4
139,111784,42664,2
140,72642,38850,4
141,109993,140003,3
142,134414,13912,3
143,35963,49980,4
144,45946,32617,3
145,59521,47259,4
146,105915,78705,5
147,66955,21386,3
148,97704,262528,2
149,56540,121791,4
150,5667,875,5
151,6608,42701,5
152,91224,21930,4
153,94709,43442,5
154,70244,47189,4
